name,player_id,team,position,slug
André-Pierre Gignac,16424,Tigres UANL,F,andre-pierre-gignac
Godwin Bentil,1006491,Marignane Gignac FC,F,godwin-bentil
Melvin Sitti,990016,Marignane Gignac FC,M,melvin-sitti
Guillaume Bosca,963394,Marignane Gignac FC,M,guillaume-bosca
Medhi Nagui,1016052,Marignane Gignac FC,F,medhi-nagui
Diaby Doucouré,1536401,Marignane Gignac FC,D,diaby-doucoure
Alexis Gignac,208458,No team,F,alexis-gignac
Charif Benhamza,1168316,Marignane Gignac FC,M,charif-benhamza
Brandon Gignac,898231,Binghamton Devils,C,gignac-brandon
Remy Sergio,298400,Marignane Gignac FC,M,remy-sergio
Léo Colin,1536430,Marignane Gignac FC,G,leo-colin
